NO_CARTE,CREDIT_CARTE,NOM,PRENOM,ADRESSE_NUM,ADRESSE_TYPE,ADRESSE_RUE,ADRESSE_VILLE,EMAIL,TELEPHONE,DATECOMMANDE,REFERENCE_PRODUIT,LIBELLE,QUANTITE,Marque,PRIX_UNIT,PRIX_KILO,QTE_STOCK,NOM_RAYON,NOM_CATEGORIE
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"8,59863857528666E+019",Poires,4,Eco-,7.54,14.17,296,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"5,93447581357463E+019",Poires,6,MarqueAPasReperer,10.30,11.72,109,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,85399816219979E+019",Taureau Rouge,5,MarqueAPasReperer,11.01,5.56,240,Sodas,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"1,53369762419857E+019",Truite,9,Pouce,9.69,4.60,246,Poissonnerie,Poissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"9,26513429271247E+019",Kiwis,4,MarqueAPasReperer,10.19,8.12,158,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"3,57428641917743E+019",Brocoli,1,MarqueAPasReperer,3.83,2.60,300,Legumes,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"9,54447737274242E+019",Hepar,7,MarqueAPasReperer,14.37,9.05,122,Eaux,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,14956249262753E+019",Veau,1,Pouce,9.66,15.17,238,Boucherie,Viandes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"3,44869922731449E+019",Moules,3,PastopBudget,15.88,4.14,222,Poissonnerie,Poissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"9,69945787286813E+019",Dinde,2,MarqueAPasReperer,2.74,12.87,123,Volaille,Viandes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,2984883933476E+019",Oasis Pomme cassis,8,PastopBudget,8.48,6.16,119,Sodas,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"2,88864567537631E+019",Kiwis,9,PastopBudget,12.16,10.01,181,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"2,86168358613782E+019",Lait d'amande,5,PastopBudget,8.20,10.84,254,Lait,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"4,52626768147422E+019",Mache,8,MarqueAPasReperer,2.17,1.14,113,Legumes,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"9,17876374843324E+019",Veau,4,MarqueAPasReperer,5.61,4.05,240,Boucherie,Viandes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"9,97378358836878E+019",Radis,6,MarqueAPasReperer,5.85,1.72,235,Legumes,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,88238144834465E+019",Gambas,5,MarqueAPasReperer,2.67,11.10,219,Poissonnerie,Poissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"6,33266235243277E+019",Amandes,10,PastopBudget,15.31,9.18,128,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"2,62892173666157E+019",Homards,8,PastopBudget,8.33,6.21,230,Poissonnerie,Poissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"8,16493254746852E+019",Speedup,2,PastopBudget,4.95,13.63,244,Sodas,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"9,1879792937943E+019",Palourdes,2,Pouce,4.45,6.81,254,Poissonnerie,Poissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"2,89892111385323E+019",Chablis,6,MarqueAPasReperer,12.43,6.03,285,Vin,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"5,94148474685473E+019",Chablis,7,Pouce,10.37,3.67,239,Vin,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"4,61385233483945E+019",Pinot Blanc,7,MarqueAPasReperer,14.52,2.63,280,Vin,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,56637235844166E+019",Pomme,7,Pouce,2.25,3.89,178,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"4,72126513459316E+019",Pinot Blanc,10,PastopBudget,11.96,5.87,159,Vin,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,97667359216143E+019",Sancerre,3,Eco-,5.38,14.49,241,Vin,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"7,86367384681772E+019",Reveil fruite,10,MarqueAPasReperer,2.37,8.99,225,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"6,63431811255445E+019",Pomme,9,MarqueAPasReperer,7.83,12.13,165,Fruits,Fruits et Legumes
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"8,25214392716795E+019",Costieres de Nimes,1,MarqueAPasReperer,15.43,15.07,295,Vin,Boissons
1366493570,4.00,Tarantino,Isabelle,191,Place,Grande , Nancy,Tarantino.Isabelle@univ-lorraine.fr,216383266,2017-02-10,"2,63689474675732E+019",Sancerre,4,MarqueAPasReperer,15.66,6.09,289,Vin,Boissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"5,99425586112983E+019",Amandes,9,MarqueAPasReperer,9.20,7.10,160,Fruits,Fruits et Legumes
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"7,67145351723214E+019",Radis,9,Pouce,9.02,14.42,100,Legumes,Fruits et Legumes
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"7,2984883933476E+019",Oasis Pomme cassis,3,PastopBudget,8.48,6.16,119,Sodas,Boissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"7,39686574399622E+019",Lait de soja,1,MarqueAPasReperer,11.95,3.20,162,Lait,Boissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"2,62892173666157E+019",Homards,3,PastopBudget,8.33,6.21,230,Poissonnerie,Poissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"5,39832992384148E+019",Whisky,9,Pouce,4.11,15.87,122,Spiritueux,Boissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"7,47183359219527E+019",Crevettes,5,MarqueAPasReperer,15.67,12.49,300,Poissonnerie,Poissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"7,78245778786837E+019",Gin,10,Pouce,11.54,4.86,118,Spiritueux,Boissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"1,71196587625643E+019",Bouillabaisse,7,MarqueAPasReperer,3.34,7.49,155,Traiteur,Poissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"6,54243928864589E+019",Noix,9,Eco-,3.68,3.56,148,Fruits,Fruits et Legumes
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"7,77588715449712E+019",Pinot Gris,10,PastopBudget,5.43,13.42,219,Vin,Boissons
1522724250,4.00,Davis,Irina,245,Avenue,des jardiniers, Laxou,Davis.Irina@univ-lorraine.fr,254441189,2017-02-09,"6,93343198149634E+019",Vouvray,9,MarqueAPasReperer,4.69,8.84,109,Vin,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"1,28455258391476E+019",Agneau,6,MarqueAPasReperer,5.06,9.75,152,Boucherie,Viandes
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"9,98932987432293E+019",Daurade,4,MarqueAPasReperer,10.84,6.23,246,Poissonnerie,Poissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"5,89536877758668E+019",Pommes,8,PastopBudget,13.83,2.83,149,Fruits,Fruits et Legumes
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"7,14956249262753E+019",Veau,8,Pouce,9.66,15.17,238,Boucherie,Viandes
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"8,33478171195191E+019",Oasis tropical,7,PastopBudget,1.63,13.45,273,Sodas,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"7,69523282639997E+019",Rozana,2,Pouce,1.97,5.51,274,Eaux,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"5,42454235776132E+019",Huitres,9,Pouce,1.44,8.14,207,Poissonnerie,Poissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"3,38436471292252E+019",Poulet,9,Eco-,11.61,14.51,246,Volaille,Viandes
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"4,86991114139191E+019",Homards,4,MarqueAPasReperer,5.52,2.29,184,Poissonnerie,Poissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"1,68911286644579E+019",Rozana,5,PastopBudget,3.08,8.36,139,Eaux,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"9,66779274465139E+019",Perrier,4,MarqueAPasReperer,5.41,9.97,253,Eaux,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"7,78916268945215E+019",Oasis tropical,1,Eco-,4.71,10.83,273,Sodas,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"6,78619119152356E+019",Lait de Vache,8,MarqueAPasReperer,6.10,9.83,299,Lait,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"6,85486575834437E+019",Coka,2,Pouce,4.96,12.36,165,Sodas,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"7,58332341753162E+019",Dinde,5,Eco-,14.31,9.43,140,Volaille,Viandes
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"8,24122491956589E+019",Rozana,8,PastopBudget,6.49,3.76,254,Eaux,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"3,61251674844594E+019",Lait d'amande,5,MarqueAPasReperer,6.30,6.33,220,Lait,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"2,96959541148942E+019",Huitres,6,PastopBudget,6.68,11.95,247,Poissonnerie,Poissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"4,14974454853559E+019",Vodka,5,Pouce,11.82,10.15,257,Spiritueux,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"4,8687944228916E+019",Canard,1,MarqueAPasReperer,8.53,4.46,153,Volaille,Viandes
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"8,72514429642656E+019",Listel,1,PastopBudget,5.05,10.81,283,Vin,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"4,16112155893913E+019",Reuilly,4,Pouce,15.25,5.61,268,Vin,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"2,89591318247793E+019",Medoc,10,MarqueAPasReperer,15.21,2.94,143,Vin,Boissons
1525526390,7.00,Prodigy,Karadoc,227,Place,Sellier , Vandoeuvre,Prodigy.Karadoc@univ-lorraine.fr,232941979,2017-02-04,"6,93343198149634E+019",Vouvray,6,MarqueAPasReperer,4.69,8.84,109,Vin,Boissons
